Tanggal,Harga Aktual,Harga Prediksi
2023-02-09,24388.95,25031.565399999978
2019-10-09,34721.12,34507.104499999994
2021-12-27,29160.09,29287.41910000001
2020-12-04,31430.7,31302.942299999984
2020-11-12,31496.3,30714.67609999999
2021-03-16,27480.03,26761.298499999986
2021-10-27,18591.93,21044.008499999978
2020-07-29,33945.58,33999.441199999994
2023-04-25,26492.21,26611.12999999999
2021-08-17,26269.89,25657.22619999998
2021-02-16,29883.79,29942.11359999999
2021-03-17,26925.05,26567.453
2018-10-03,33987.18,33860.64370000001
2020-04-30,33970.47,34745.1738
2020-02-07,35754.69,35763.62530000002
2019-12-02,34988.84,34610.00019999997
2021-04-14,27772.76,28193.6175
2021-10-22,22552.17,21298.8399
2019-07-16,31384.55,31011.221500000014
2019-05-03,30822.42,30888.447700000008
